Data,Hora,Dado
03/01/2020,05:45,43.8
03/01/2020,06:00,45.8
03/01/2020,06:15,45.9
03/01/2020,06:30,46.9
03/01/2020,06:45,46.1
03/01/2020,07:00,47.5
03/01/2020,07:15,49.7
03/01/2020,07:30,51.8
03/01/2020,07:45,54.6
03/01/2020,08:00,52.8
03/01/2020,08:15,53.6
03/01/2020,08:30,55.3
03/01/2020,08:45,55.6
03/01/2020,09:00,56
03/01/2020,09:15,59.7
03/01/2020,09:30,61.3
03/01/2020,09:45,64.7
03/01/2020,10:00,65.7
03/01/2020,10:15,69.5
03/01/2020,10:30,73
03/01/2020,10:45,77.6
03/01/2020,11:00,84.5
03/01/2020,11:15,89.3
03/01/2020,11:30,92.7
03/01/2020,12:00,102.9
03/01/2020,12:15,104.6
03/01/2020,12:30,103.9
03/01/2020,12:45,105.5
03/01/2020,13:00,101.3
03/01/2020,13:15,98.5
03/01/2020,13:30,96.4
03/01/2020,13:45,93.8
03/01/2020,14:00,87.3
03/01/2020,14:15,81
03/01/2020,14:30,74.8
03/01/2020,14:45,71.3
03/01/2020,15:00,69.1
03/01/2020,15:15,63.5
03/01/2020,15:30,55.3
03/01/2020,15:45,51.1
03/01/2020,16:00,49.2
03/01/2020,16:15,45.4
03/01/2020,16:30,42.7
03/01/2020,16:45,42.5
03/01/2020,17:00,42.2
03/01/2020,17:15,44.1
03/01/2020,17:30,43.9
03/01/2020,17:45,45.9
03/01/2020,18:00,47.1
03/01/2020,18:15,47.9
03/01/2020,18:30,51.9
03/01/2020,18:45,54.6
03/01/2020,19:00,57
03/01/2020,19:15,56.4
03/01/2020,19:30,56.4
03/01/2020,19:45,56.8
03/01/2020,20:00,54.2
03/01/2020,20:15,55.1
03/01/2020,20:30,52.4
03/01/2020,20:45,52.7
03/01/2020,21:00,58
03/01/2020,21:15,59.5
03/01/2020,21:30,64.3
03/01/2020,21:45,66.9
03/01/2020,22:00,71
03/01/2020,22:15,75
03/01/2020,22:30,82.4
03/01/2020,22:45,87.4
03/01/2020,23:00,94.9
03/01/2020,23:15,105.3
03/01/2020,23:30,111.7
03/01/2020,23:45,122.4
04/01/2020,00:00,132
04/01/2020,00:15,139
04/01/2020,00:30,145.1
04/01/2020,00:45,147.8
04/01/2020,01:00,154
04/01/2020,01:15,156.4
04/01/2020,01:30,159.8
04/01/2020,01:45,157.7
04/01/2020,02:00,157.9
04/01/2020,02:15,154.1
04/01/2020,02:30,148.1
04/01/2020,02:45,145.5
04/01/2020,03:00,137.2
04/01/2020,03:15,130.3
04/01/2020,03:30,123
04/01/2020,03:45,116.6
04/01/2020,04:00,112.1
04/01/2020,04:15,104.1
04/01/2020,04:30,98.6
04/01/2020,04:45,91.3
04/01/2020,05:00,86.3
04/01/2020,05:15,81.3
04/01/2020,05:30,77.5
04/01/2020,05:45,75.7
04/01/2020,06:00,71.6
04/01/2020,06:15,71.9
04/01/2020,06:30,72.3
04/01/2020,06:45,71.4
04/01/2020,07:00,71.3
04/01/2020,07:15,71.9
04/01/2020,07:30,75
04/01/2020,07:45,76.9
04/01/2020,08:00,78.1
04/01/2020,08:15,80.8
04/01/2020,08:30,80.8
04/01/2020,08:45,83.8
04/01/2020,09:00,90.6
04/01/2020,09:15,95.5
04/01/2020,09:30,97.7
04/01/2020,09:45,97.5
04/01/2020,10:15,102.3
04/01/2020,10:30,107.6
04/01/2020,10:45,115
04/01/2020,11:00,120.9
04/01/2020,11:15,123.9
04/01/2020,11:30,128.2
04/01/2020,11:45,134.6
04/01/2020,12:00,137.7
04/01/2020,12:15,141.5
04/01/2020,12:30,144.4
04/01/2020,12:45,145.3
04/01/2020,13:00,145.9
04/01/2020,13:15,145.1
04/01/2020,13:30,144.3
04/01/2020,13:45,140.1
04/01/2020,14:00,135.4
04/01/2020,14:15,129.8
04/01/2020,14:30,124.2
04/01/2020,14:45,115.7
04/01/2020,15:00,110.1
04/01/2020,15:15,102.8
04/01/2020,15:30,93.4
04/01/2020,15:45,89.3
04/01/2020,16:00,83.6
04/01/2020,16:15,74.9
04/01/2020,16:30,69.1
04/01/2020,16:45,66.5
04/01/2020,17:00,63.1
04/01/2020,17:15,58.3
04/01/2020,17:30,52.4
04/01/2020,17:45,52.4
04/01/2020,18:00,52.8
04/01/2020,18:15,53.9
04/01/2020,18:30,54.8
04/01/2020,18:45,54.4
04/01/2020,19:00,54.8
04/01/2020,19:15,55.5
04/01/2020,19:30,55.5
04/01/2020,19:45,54.5
04/01/2020,20:00,56.4
04/01/2020,20:15,56
04/01/2020,20:30,58.5
04/01/2020,20:45,57.9
04/01/2020,21:00,57.3
04/01/2020,21:15,57.4
04/01/2020,21:30,57.7
04/01/2020,21:45,63.1
04/01/2020,22:00,67
04/01/2020,22:15,70.4
04/01/2020,22:30,76.3
04/01/2020,22:45,82.4
04/01/2020,23:00,86.6
04/01/2020,23:15,94.2
04/01/2020,23:30,103.8
04/01/2020,23:45,113.8
05/01/2020,00:00,121.7
05/01/2020,00:15,130.4
05/01/2020,00:30,138.5
05/01/2020,00:45,142.1
05/01/2020,01:00,149.4
05/01/2020,01:15,154.6
05/01/2020,01:30,158.9
05/01/2020,01:45,161.1
05/01/2020,02:00,161.2
05/01/2020,02:15,156.9
05/01/2020,02:30,153.9
05/01/2020,02:45,145.2
05/01/2020,03:00,139.6
05/01/2020,03:15,134.7
05/01/2020,03:30,128.2
05/01/2020,03:45,119.3
05/01/2020,04:00,110.8
05/01/2020,04:15,100
05/01/2020,04:30,93.6
05/01/2020,04:45,84.4
05/01/2020,05:00,76.5
05/01/2020,05:15,70.1
05/01/2020,05:30,62.4
05/01/2020,05:45,56.5
05/01/2020,06:00,50.9
05/01/2020,06:15,48.4
05/01/2020,06:30,45.7
05/01/2020,06:45,46.4
05/01/2020,07:00,47.1
05/01/2020,07:15,48.9
05/01/2020,07:30,48.7
05/01/2020,07:45,51.8
05/01/2020,08:00,53.9
05/01/2020,08:15,57.6
05/01/2020,08:30,64.2
05/01/2020,08:45,68.3
05/01/2020,09:00,69.2
05/01/2020,09:15,72.8
05/01/2020,09:30,74.9
05/01/2020,09:45,77
05/01/2020,10:00,80
05/01/2020,10:15,84.3
05/01/2020,10:30,86.4
05/01/2020,10:45,88
05/01/2020,11:00,94
05/01/2020,11:15,97.5
05/01/2020,11:30,103
05/01/2020,11:45,107.6
05/01/2020,12:00,112.4
05/01/2020,12:15,117.7
05/01/2020,12:30,120.9
05/01/2020,12:45,123.1
05/01/2020,13:00,124.8
05/01/2020,13:15,129.4
05/01/2020,13:30,131.2
05/01/2020,13:45,131.9
05/01/2020,14:00,131.5
05/01/2020,14:15,129.9
05/01/2020,14:30,125.6
05/01/2020,14:45,123
05/01/2020,15:00,117.4
05/01/2020,15:15,112.1
05/01/2020,15:30,106.4
05/01/2020,15:45,99
05/01/2020,16:00,90.9
05/01/2020,16:15,82.6
05/01/2020,16:30,73.9
05/01/2020,16:45,68.4
05/01/2020,17:00,61.1
05/01/2020,17:15,53.8
05/01/2020,17:30,43.8
05/01/2020,17:45,37.4
05/01/2020,18:00,32.5
05/01/2020,18:15,28.7
05/01/2020,18:30,25.7
05/01/2020,18:45,23.3
05/01/2020,19:00,21.5
05/01/2020,19:15,20.9
05/01/2020,19:30,21.9
05/01/2020,19:45,24.3
05/01/2020,20:00,25.4
05/01/2020,20:15,28.6
05/01/2020,20:30,32.2
05/01/2020,20:45,34.3
05/01/2020,21:00,39.5
05/01/2020,21:15,42.5
05/01/2020,21:30,45.7
05/01/2020,21:45,48.3
05/01/2020,22:00,51.2
05/01/2020,22:15,55.6
05/01/2020,22:30,59.2
05/01/2020,22:45,64.4
05/01/2020,23:00,71.4
05/01/2020,23:15,78.2
05/01/2020,23:30,86.1
05/01/2020,23:45,94
